                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2412,                 1.8985,                 1.7737,                0.81518,                0.80158,                0.86001,                0.53558,                 1.4312,                 1.1051,                  2.093,              6.925e-05,              6.925e-05,              6.925e-05
                     35,                 1.2416,                 1.8656,                 1.7827,                0.83975,                0.80127,                0.87307,                0.54045,                 1.4388,                  1.087,                 2.0941,             6.5507e-05,             6.5507e-05,             6.5507e-05
                     36,                 1.2356,                  1.837,                 1.7744,                0.80401,                 0.8268,                0.87058,                0.53769,                  1.432,                 1.0866,                 2.0824,             6.1765e-05,             6.1765e-05,             6.1765e-05
                     37,                 1.2319,                 1.8455,                 1.7655,                0.83279,                0.80938,                0.88236,                0.54483,                 1.4311,                 1.0542,                 2.0871,             5.8023e-05,             5.8023e-05,             5.8023e-05
                     38,                 1.2155,                 1.8086,                  1.755,                0.84695,                0.79377,                0.87047,                0.54743,                  1.435,                 1.0547,                 2.0868,             5.4281e-05,             5.4281e-05,             5.4281e-05
                     39,                  1.225,                 1.8055,                 1.7571,                0.84635,                0.82797,                0.88005,                0.55356,                 1.4345,                 1.0288,                 2.0875,             5.0539e-05,             5.0539e-05,             5.0539e-05
                     40,                 1.2224,                 1.7817,                 1.7567,                0.83778,                0.83179,                0.88141,                 0.5455,                 1.4301,                 1.0211,                 2.0809,             4.6796e-05,             4.6796e-05,             4.6796e-05
                     41,                 1.1382,                 1.1317,                 1.8384,                0.82024,                0.86433,                0.89918,                0.55852,                 1.3954,                 1.0567,                 2.0571,             4.3054e-05,             4.3054e-05,             4.3054e-05
                     42,                 1.1112,                 1.0704,                 1.8099,                0.85714,                0.84702,                0.89631,                0.56233,                 1.4032,                 1.0355,                 2.0619,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     43,                 1.1023,                 1.0506,                 1.8034,                0.87365,                0.83292,                0.90157,                0.56692,                 1.3905,                 1.0226,                 2.0553,              3.557e-05,              3.557e-05,              3.557e-05
                     44,                 1.0875,                 1.0154,                  1.795,                0.85016,                0.85234,                0.90547,                0.56584,                 1.3905,                 1.0062,                  2.053,             3.1828e-05,             3.1828e-05,             3.1828e-05
                     45,                  1.077,                 1.0005,                  1.777,                0.85927,                0.85508,                 0.9078,                0.57226,                 1.3806,                0.98478,                 2.0466,             2.8085e-05,             2.8085e-05,             2.8085e-05
                     46,                 1.0667,                0.98235,                 1.7705,                0.87116,                0.86157,                0.90927,                0.57489,                 1.3824,                0.98952,                 2.0465,             2.4343e-05,             2.4343e-05,             2.4343e-05
                     47,                 1.0552,                0.96921,                 1.7568,                0.86582,                0.85124,                0.90798,                0.56811,                 1.3873,                0.99176,                 2.0488,             2.0601e-05,             2.0601e-05,             2.0601e-05
                     48,                 1.0603,                0.95716,                 1.7626,                0.86649,                0.85775,                0.91379,                0.56656,                  1.391,                0.97759,                 2.0541,             1.6859e-05,             1.6859e-05,             1.6859e-05
                     49,                 1.0564,                0.94466,                 1.7539,                0.86307,                0.86159,                0.90828,                0.56929,                 1.3887,                0.97371,                 2.0467,             1.3117e-05,             1.3117e-05,             1.3117e-05
                     50,                 1.0407,                0.93143,                 1.7457,                0.85187,                0.85841,                0.90959,                0.56756,                 1.3904,                0.97541,                 2.0489,             9.3744e-06,             9.3744e-06,             9.3744e-06
